T,ET,SH,AT,ST,P,SM,LL_R,LL_G
1/1/1993,0.000015,0.006582,21.98,23.02,0.04,184.21,281.54,279.71
2/1/1993,0.000011,0.006498,24.86,24.25,0,170.82,281.16,279.51
3/1/1993,0.000015,0.009289,28.36,28.43,0.15,163.86,280.93,279.26
4/1/1993,0.000026,0.013593,29.18,29.93,0.26,170.93,280.75,278.95
5/1/1993,0.000032,0.016427,29.03,30.77,11.3999996,189.82,280.59,278.65
6/1/1993,0.000036,0.016907,27.44,28.86,20.2800007,221.94,280.43,278.39
7/1/1993,0.000041,0.018358,26.8,27.56,84.2200012,244.45,280.51,278.19
8/1/1993,0.000044,0.018319,25.8,26.56,122.2900009,266.61,280.86,278.01
9/1/1993,0.000041,0.018766,26.7,26.48,34.2599983,269.18,281.36,277.87
10/1/1993,0.000037,0.015654,27,27.04,0.29,248.63,281.64,278.63
11/1/1993,0.000026,0.012511,27.09,26.7,0.06,221.16,281.64,279.2
12/1/1993,0.000018,0.008928,23.69,25.34,0,199.33,281.5,279.29
1/1/1994,0.000013,0.00745,23.87,23.54,0.04,181.06,281.27,279.35
2/1/1994,0.000009,0.005117,25.03,24.13,0,168.61,281.11,279.18
3/1/1994,0.000012,0.008962,28.76,26.49,0.15,159.44,280.94,278.93
4/1/1994,0.000027,0.012009,29.97,29.62,0.33,168.54,280.79,278.67
5/1/1994,0.000032,0.013525,29.56,29.92,6.52,188.59,280.61,278.42
6/1/1994,0.000034,0.013636,27.49,28.57,14.4099998,209,280.45,278.16
7/1/1994,0.000037,0.015331,25.57,26.67,194.1900024,239.22,280.53,277.87
8/1/1994,0.000046,0.017169,24.47,25.03,171.3899994,286.82,281.13,277.87
9/1/1994,0.000044,0.01761,25.31,25.05,106.3600006,292.34,281.53,278.09
10/1/1994,0.000041,0.016172,26.66,25.78,1.39,271.18,281.9,279.12
11/1/1994,0.000035,0.009943,24.78,24.51,0.06,241.21,282,279.95
12/1/1994,0.000025,0.006703,22.05,21.34,0,210.8,281.87,280.24
1/1/1995,0.000018,0.006002,22.49,21.84,0.04,193.07,281.65,280.15
2/1/1995,0.000014,0.006186,24.24,23.06,0,178.62,281.38,280
3/1/1995,0.000022,0.010373,28.81,27.48,0.15,173.61,281.11,279.66
4/1/1995,0.000026,0.012817,29.41,29.78,1.11,180.16,280.9,279.35
5/1/1995,0.000034,0.014114,29.38,30.09,0.96,200.01,280.79,279.05
6/1/1995,0.000036,0.014899,28.39,29.27,10.7799997,222.82,280.74,278.74
7/1/1995,0.000039,0.017276,26.73,27.58,116.3199997,252.64,280.74,278.53
8/1/1995,0.000044,0.018378,26,26.19,96.6500015,287.96,281.07,278.41
9/1/1995,0.00004,0.018415,26.39,26.36,44.9099998,280.21,281.58,278.31
10/1/1995,0.000038,0.016033,27.13,26.69,0.33,268.91,281.93,279.22
11/1/1995,0.000031,0.010449,24.83,25.06,0.06,237.58,282.04,280.06
12/1/1995,0.000023,0.008384,24.01,23.19,0,210.8,281.99,280.36
1/1/1996,0.000018,0.007157,24.04,22.1,0.04,193.52,281.84,280.19
2/1/1996,0.000014,0.007709,26.25,24.8,0,180.43,281.42,279.93
3/1/1996,0.000011,0.010094,28.39,28.31,0.17,167.69,281.2,279.66
4/1/1996,0.000009,0.012195,28.81,29.53,0.21,156.34,280.99,279.35
5/1/1996,0.000007,0.013905,28.99,30.99,2.71,145.97,280.85,279.08
6/1/1996,0.000005,0.014062,27.25,29.57,30.8400002,136.02,280.89,278.85
7/1/1996,0.000004,0.015964,26.55,28.38,64.7099991,126.94,281.05,278.63
8/1/1996,0.000004,0.017514,25.47,27.58,87.1900024,117.41,281.37,278.58
9/1/1996,0.000003,0.017665,26.15,27.72,44.6899986,109.17,281.71,279.02
10/1/1996,0.000003,0.015253,26.24,27.93,17.1800003,103.71,281.96,279.86
11/1/1996,0.000003,0.010118,24.56,25.54,0.06,100.11,282.12,280.33
12/1/1996,0.000003,0.008101,24.18,23.71,0,98.57,282,280.49
1/1/1997,0.000001,0.022651,24.4,24.3,0.04,104.01,281.66,280.34
2/1/1997,0.000002,0.02247,24.18,23.16,0,112.03,281.4,280.11
3/1/1997,0.000006,0.028313,28.4,27.17,0.19,120.32,281.25,279.94
4/1/1997,0.000014,0.03033,29.75,30.39,1.5,152.83,281.09,279.66
5/1/1997,0.000015,0.028452,28.82,30.52,0.96,182.21,280.87,279.42
6/1/1997,0.000026,0.013842,28.02,29.63,27.0100002,189.88,280.83,279.21
7/1/1997,0.000022,0.016092,27.14,28.42,73.4899979,201.22,281.11,279.05
8/1/1997,0.000021,0.017073,26.48,27.47,60.0999985,209.99,281.43,279.06
9/1/1997,0.000015,0.026216,28.07,28.16,43.4300003,210.46,281.63,279.39
10/1/1997,0.000015,0.026218,27.94,28.75,1.65,201.19,281.75,279.7
11/1/1997,0.000012,0.024205,26.33,27.3,0.06,191.71,281.77,279.92
12/1/1997,0.000009,0.020715,23.43,24.42,0,184.64,281.62,279.95
1/1/1998,0.000021,0.006014,23.41,22.64,0.04,167.12,281.46,279.86
2/1/1998,0.000018,0.006483,26.66,24.69,0,151.48,281.32,279.7
3/1/1998,0.000014,0.007724,28.09,26.87,0.15,139.18,281.19,279.48
4/1/1998,0.000023,0.012474,30.95,30.01,0.17,138.14,281.03,279.21
5/1/1998,0.000029,0.013251,30.79,30.83,2.3599999,162.45,280.96,279.07
6/1/1998,0.000029,0.013156,28.83,29.69,29.2800007,171.57,280.81,278.79
7/1/1998,0.000037,0.01635,26.86,27.61,61.7000008,221.2,280.97,278.67
8/1/1998,0.000043,0.018123,25.96,26.44,125.75,266.64,281.45,278.53
9/1/1998,0.000045,0.016927,25.9,25.98,85.3199997,280.24,281.82,279.05
10/1/1998,0.00004,0.014985,26.69,26.01,5.5900002,259.53,282.17,279.99
11/1/1998,0.000032,0.010698,25.83,25.06,0.06,227.42,282.28,280.55
12/1/1998,0.000023,0.007412,24.2,23.29,0,201.03,282.06,280.78
1/1/1999,0.000016,0.008082,24.06,21.95,0.04,183.54,281.76,280.56
2/1/1999,0.000018,0.00851,27.58,25.97,0,173.69,281.54,280.32
3/1/1999,0.000015,0.010555,28.53,27.18,0.15,164.74,281.33,280.06
4/1/1999,0.000019,0.011751,29.52,28.33,0.16,161.6,281.15,279.75
5/1/1999,0.000026,0.014265,28.79,28.6,32.8300018,181.42,281,279.59
6/1/1999,0.000028,0.014874,27.44,28.17,8.4799995,194.76,280.94,279.3
7/1/1999,0.000036,0.016365,25.93,26.68,182.4199982,240.91,280.99,279.13
8/1/1999,0.000045,0.01666,24.76,25.31,139.0899963,284.02,281.28,279.21
9/1/1999,0.000039,0.016815,25.58,25.31,65.8600006,278.64,281.57,279.65
10/1/1999,0.000039,0.015042,26.02,25.67,4.6599998,268.61,281.86,280.13
11/1/1999,0.000033,0.010793,25.87,24.44,0.06,236.75,282.14,280.56
12/1/1999,0.000023,0.008354,24.36,22.92,0,209.66,282.2,280.77
1/1/2000,0.00002,0.005909,24.25,22.69,0.04,191.24,282.07,280.67
2/1/2000,0.000015,0.005507,24.9,23.27,0,175.95,281.7,280.41
3/1/2000,0.000014,0.00678,26.96,25.36,0.15,166.35,281.43,280.14
4/1/2000,0.000018,0.009982,29.26,28.54,0.16,175.02,281.21,279.87
5/1/2000,0.000018,0.010479,29.64,29.79,0.35,177.2,281.02,279.64
6/1/2000,0.000018,0.011911,28.84,30.05,20.6800003,184.42,280.91,279.41
7/1/2000,0.000019,0.012411,28.08,29.39,109.6100006,186.31,281.07,279.25
8/1/2000,0.000021,0.013256,27.29,28.41,76.4100037,190.4,281.36,279.27
